2013-04-22 06:44:03 status unpacked adduser:all 3.113+nmu1ubuntu1
2013-04-22 06:44:04 upgrade base-files:armhf 6.5ubuntu12+linaro13.02 6.5ubuntu12+linaro13.02
2013-04-22 06:44:04 status half-configured base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:44:04 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:44:04 status half-installed base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:44:04 status half-installed base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:44:04 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:44:04 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:44:04 upgrade base-passwd:armhf 3.5.26 3.5.26
2013-04-22 06:44:04 status half-configured base-passwd:armhf 3.5.26
2013-04-22 06:44:04 status unpacked base-passwd:armhf 3.5.26
2013-04-22 06:44:04 status half-installed base-passwd:armhf 3.5.26
2013-04-22 06:44:04 status half-installed base-passwd:armhf 3.5.26
2013-04-22 06:44:04 status unpacked base-passwd:armhf 3.5.26
2013-04-22 06:44:04 status unpacked base-passwd:armhf 3.5.26
2013-04-22 06:44:04 install bash:armhf <none> 4.2-5ubuntu1
2013-04-22 06:44:04 status half-installed bash:armhf 4.2-5ubuntu1
2013-04-22 06:44:05 status unpacked bash:armhf 4.2-5ubuntu1
2013-04-22 06:44:05 status unpacked bash:armhf 4.2-5ubuntu1
2013-04-22 06:44:05 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu2
2013-04-22 06:44:05 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu2
2013-04-22 06:44:05 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu2
2013-04-22 06:44:05 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu2
2013-04-22 06:44:05 install busybox-initramfs:armhf <none> 1:1.19.3-7ubuntu1
2013-04-22 06:44:05 status half-installed busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2013-04-22 06:44:05 status unpacked busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2013-04-22 06:44:05 status unpacked busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2013-04-22 06:44:06 install coreutils:armhf <none> 8.13-3.2ubuntu2
2013-04-22 06:44:06 status half-installed coreutils:armhf 8.13-3.2ubuntu2
2013-04-22 06:44:06 status unpacked coreutils:armhf 8.13-3.2ubuntu2
2013-04-22 06:44:06 status unpacked coreutils:armhf 8.13-3.2ubuntu2
2013-04-22 06:44:06 install cpio:armhf <none> 2.11-8ubuntu3
2013-04-22 06:44:06 status half-installed cpio:armhf 2.11-8ubuntu3
2013-04-22 06:44:06 status unpacked cpio:armhf 2.11-8ubuntu3
2013-04-22 06:44:06 status unpacked cpio:armhf 2.11-8ubuntu3
2013-04-22 06:44:06 install dash:armhf <none> 0.5.7-3ubuntu1
2013-04-22 06:44:06 status half-installed dash:armhf 0.5.7-3ubuntu1
2013-04-22 06:44:07 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-04-22 06:44:07 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-04-22 06:44:07 upgrade debconf:all 1.5.46ubuntu1 1.5.46ubuntu1
2013-04-22 06:44:07 status half-configured debconf:all 1.5.46ubuntu1
2013-04-22 06:44:09 status unpacked debconf:all 1.5.46ubuntu1
2013-04-22 06:44:09 status half-installed debconf:all 1.5.46ubuntu1
2013-04-22 06:44:09 status half-installed debconf:all 1.5.46ubuntu1
2013-04-22 06:44:09 status unpacked debconf:all 1.5.46ubuntu1
2013-04-22 06:44:09 status unpacked debconf:all 1.5.46ubuntu1
2013-04-22 06:44:09 install debianutils:armhf <none> 4.3.4
2013-04-22 06:44:09 status half-installed debianutils:armhf 4.3.4
2013-04-22 06:44:09 status unpacked debianutils:armhf 4.3.4
2013-04-22 06:44:09 status unpacked debianutils:armhf 4.3.4
2013-04-22 06:44:10 install diffutils:armhf <none> 1:3.2-6ubuntu1
2013-04-22 06:44:10 status half-installed diffutils:armhf 1:3.2-6ubuntu1
2013-04-22 06:44:10 status unpacked diffutils:armhf 1:3.2-6ubuntu1
2013-04-22 06:44:10 status unpacked diffutils:armhf 1:3.2-6ubuntu1
2013-04-22 06:44:10 upgrade dpkg:armhf 1.16.7ubuntu6 1.16.7ubuntu6
2013-04-22 06:44:10 status half-configured dpkg:armhf 1.16.7ubuntu6
2013-04-22 06:44:10 status unpacked dpkg:armhf 1.16.7ubuntu6
2013-04-22 06:44:10 status half-installed dpkg:armhf 1.16.7ubuntu6
2013-04-22 06:44:10 status half-installed dpkg:armhf 1.16.7ubuntu6
2013-04-22 06:44:10 status unpacked dpkg:armhf 1.16.7ubuntu6
2013-04-22 06:44:10 status unpacked dpkg:armhf 1.16.7ubuntu6
2013-04-22 06:44:11 install e2fslibs:armhf <none> 1.42.5-1ubuntu2
2013-04-22 06:44:11 status half-installed e2fslibs:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:11 status unpacked e2fslibs:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:11 status unpacked e2fslibs:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:11 install e2fsprogs:armhf <none> 1.42.5-1ubuntu2
2013-04-22 06:44:11 status half-installed e2fsprogs:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:11 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:11 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:11 install findutils:armhf <none> 4.4.2-4ubuntu2
2013-04-22 06:44:11 status half-installed findutils:armhf 4.4.2-4ubuntu2
2013-04-22 06:44:11 status unpacked findutils:armhf 4.4.2-4ubuntu2
2013-04-22 06:44:11 status unpacked findutils:armhf 4.4.2-4ubuntu2
2013-04-22 06:44:12 install gcc-4.7-base:armhf <none> 4.7.2-2ubuntu1
2013-04-22 06:44:12 status half-installed gcc-4.7-base:armhf 4.7.2-2ubuntu1
2013-04-22 06:44:12 status unpacked gcc-4.7-base:armhf 4.7.2-2ubuntu1
2013-04-22 06:44:12 status unpacked gcc-4.7-base:armhf 4.7.2-2ubuntu1
2013-04-22 06:44:12 install grep:armhf <none> 2.12-2
2013-04-22 06:44:12 status half-installed grep:armhf 2.12-2
2013-04-22 06:44:12 status unpacked grep:armhf 2.12-2
2013-04-22 06:44:12 status unpacked grep:armhf 2.12-2
2013-04-22 06:44:12 install gzip:armhf <none> 1.5-1.1ubuntu1
2013-04-22 06:44:12 status half-installed gzip:armhf 1.5-1.1ubuntu1
2013-04-22 06:44:12 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-04-22 06:44:12 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-04-22 06:44:12 install hostname:armhf <none> 3.11ubuntu1
2013-04-22 06:44:12 status half-installed hostname:armhf 3.11ubuntu1
2013-04-22 06:44:13 status unpacked hostname:armhf 3.11ubuntu1
2013-04-22 06:44:13 status unpacked hostname:armhf 3.11ubuntu1
2013-04-22 06:44:13 install ifupdown:armhf <none> 0.7.2ubuntu2
2013-04-22 06:44:13 status half-installed ifupdown:armhf 0.7.2ubuntu2
2013-04-22 06:44:13 status unpacked ifupdown:armhf 0.7.2ubuntu2
